Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
550	-22122.1	-22046.3	-75.7601	1.20333	0.586919	0.575526	1.3936	0.898641	0.313809	0.915313	0.00226096	0.811116	0.150407	0.396673	0.00551116	0.472186	0.246953	0.121443	0.500746	0.687622	0.124662	0.107063	0.67425	0.487876	10.6759
560	-22120.6	-22048.1	-72.4586	1.26413	0.586919	0.673008	1.17901	0.816971	0.258094	0.929647	0.00432448	0.924156	0.149653	0.456348	0.00383589	0.252835	0.190746	0.0516989	0.469117	0.499418	0.263957	0.363147	0.583965	0.424773	10.3458
570	-22124.3	-22044	-80.2438	1.36176	0.644032	0.686561	1.43683	0.840693	0.273383	0.929647	0.00223184	0.816647	0.157396	0.501561	0.00622513	0.40994	0.0740806	0.121974	0.433376	0.830495	0.166473	0.327433	0.665197	0.43835	11.1243
580	-22123.5	-22047.5	-75.9616	1.16633	0.573093	0.840544	1.03941	0.973263	0.241723	0.999495	0.00170211	0.859974	0.116417	0.413742	0.00193201	0.429519	0.0823162	0.0997968	0.490512	0.581264	0.293565	0.377732	0.632002	0.481728	10.6961
590	-22127.1	-22057.6	-69.4923	1.10877	0.549995	0.684189	1.1577	0.819385	0.277426	0.863501	0.00917417	0.883552	0.156185	0.430016	0.00101167	0.27893	0.133591	0.337987	0.45253	0.515341	0.134775	0.196728	0.635766	0.422581	10.0491
600	-22124.7	-22050.5	-74.2541	1.17057	0.697998	0.603476	1.06075	1.06441	0.207786	0.812657	0.00511992	0.847317	0.143504	0.563272	0.000374726	0.40915	0.182463	0.0499835	0.453499	0.659665	0.222841	0.36869	0.534357	0.46742	10.5253
610	-22120.8	-22044	-76.7787	1.08296	0.646745	0.648544	1.39546	1.01995	0.303334	0.984967	0.00153193	0.919866	0.131677	0.367816	0.00307315	0.342838	0.110313	0.199327	0.318222	0.741822	0.0440833	0.355617	0.71285	0.446772	10.7778
620	-22122.5	-22046	-76.5395	1.31304	0.654318	0.497998	1.354	0.88087	0.33102	0.89827	0.00039742	0.930997	0.147055	0.483324	0.00307315	0.38921	0.0472069	0.24933	0.44587	0.715816	0.0567154	0.355617	0.540951	0.45877	10.7538
630	-22121.4	-22043.9	-77.4412	1.27844	0.55258	0.632238	1.40109	1.04509	0.339946	0.930047	0.00378106	0.776044	0.0993031	0.422128	0.00315152	0.377463	0.00545133	0.102332	0.478465	0.705707	0.203201	0.318165	0.681359	0.488039	10.844
640	-22121.8	-22045	-76.7571	1.32272	0.591678	0.63449	1.36847	0.886752	0.358026	0.921617	0.00181431	0.747113	0.157078	0.428547	0.00315152	0.346348	0.0393094	0.278693	0.462209	0.73734	0.194073	0.283784	0.554055	0.458336	10.7756
650	-22121.7	-22048.6	-73.0662	0.970051	0.6024	0.645824	1.11131	0.985413	0.252049	0.955035	0.00418669	0.914697	0.14222	0.509091	0.00541478	0.38282	0.106687	0.0974824	0.459958	0.562917	0.146627	0.480917	0.631153	0.440271	10.4065
660	-22120	-22045.9	-74.108	1.12363	0.682263	0.647622	1.38738	0.890763	0.300081	0.846165	0.00406331	0.762039	0.169644	0.351019	0.000460599	0.37191	0.0215955	0.130938	0.444679	0.733496	0.0623162	0.478833	0.665656	0.43615	10.5107
