Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
820	-22121.3	-22047.7	-73.6168	1.22165	0.559218	0.68343	1.17647	0.691707	0.37505	0.900146	0.003333	0.82557	0.16076	0.384805	0.000737299	0.149555	0.638355	0.435939	0.516224	0.797306	0.319862	0.332907	0.185862	0.102693	10.4616
830	-22122.1	-22046.5	-75.6369	1.2528	0.621312	0.749225	1.28247	0.821089	0.352109	0.908766	0.00369237	0.986738	0.161477	0.431509	0.00530756	0.129709	0.702535	0.46646	0.379784	0.565717	0.232777	0.373278	0.131086	0.105749	10.6636
840	-22123.9	-22047.2	-76.7001	1.2047	0.464244	0.81758	1.10805	0.984944	0.333154	1.00502	0.00369237	0.887889	0.169269	0.474745	0.00254587	0.0981383	0.619774	0.45745	0.453265	0.72031	0.194804	0.459375	0.1731	0.137854	10.7699
850	-22128	-22050	-77.9413	1.10135	0.677179	0.60056	1.21189	0.779751	0.364963	1.04762	0.0024505	1.06158	0.10998	0.318005	0.00252017	0.345525	0.581119	0.545833	0.534881	0.603684	0.323096	0.3456	0.182867	0.153586	10.894
860	-22130.9	-22057.3	-73.6086	1.12505	0.709238	0.622838	1.0942	0.900025	0.305033	0.76797	0.00277707	0.977658	0.0772009	0.355015	0.00119019	0.111523	0.809361	0.580861	0.428724	0.596596	0.485434	0.327601	0.0288776	0.153586	10.4608
870	-22123.9	-22051.9	-71.9986	1.28039	0.540673	0.767518	1.23646	0.986245	0.317188	0.59679	0.00191628	0.933639	0.117842	0.380821	0.0044415	0.0811429	0.68661	0.460888	0.464928	0.510648	0.358575	0.348953	0.109044	0.115042	10.2998
880	-22124.3	-22045.6	-78.665	1.08947	0.651987	0.712336	1.48996	0.965886	0.317188	0.787021	0.00399851	0.93786	0.131845	0.45494	0.00157992	0.150981	0.639495	0.4827	0.403177	0.52034	0.329737	0.449296	0.193399	0.2532	10.9664
890	-22122.8	-22042.2	-80.6218	1.27384	0.537865	0.700528	1.37098	0.902877	0.294116	1.16159	0.00498562	0.793115	0.145808	0.357251	0.00184538	0.0731889	0.682317	0.460742	0.550746	0.743544	0.46043	0.363479	0.216256	0.0665764	11.1621
900	-22118.8	-22041.4	-77.3792	1.2328	0.548265	0.698527	1.34088	1.00472	0.319216	0.93458	0.00112913	1.03031	0.14615	0.371458	0.00403493	0.138776	0.636278	0.428231	0.580544	0.605516	0.403764	0.257992	0.075083	0.079567	10.8378
910	-22135.3	-22065	-70.2925	1.44348	0.538706	0.587811	1.28023	0.707459	0.222648	1.01698	0.0029439	0.57733	0.141803	0.415679	0.0012655	0.0842194	0.56957	0.399225	0.415111	0.562295	0.26982	0.417655	0.226029	0.248886	10.1291
920	-22119	-22046.5	-72.4647	1.12383	0.613341	0.593276	1.0996	0.82073	0.281872	1.03118	0.000195741	0.872738	0.107502	0.420805	0.0057205	0.135245	0.656534	0.459188	0.451743	0.735072	0.365474	0.352975	0.161532	0.0578192	10.3464
930	-22122.4	-22045.6	-76.7273	1.45277	0.531239	0.735133	1.22721	0.90669	0.389051	0.881172	0.000734516	1.00551	0.110855	0.391837	0.0044632	0.0696141	0.582602	0.486209	0.349737	0.690161	0.3722	0.379408	0.122634	0.083396	10.7726
