Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
62	-22058.2	-21988	-70.2183	1.1155	0.606649	0.755402	0.975637	0.871377	0.333196	0.762268	0.00698086	0.839822	0.144118	0.431151	0.00288549	0.510058	0.269295	0.418653	0.0472243	0.607701	0.520658	0.34123	0.213059	0.348857	10.1217
63	-22047.7	-21973.9	-73.804	1.1155	0.633378	0.721858	1.20077	0.996009	0.28762	0.876133	0.00647678	0.89312	0.202961	0.47457	0.000672975	0.681334	0.393735	0.386401	0.0259198	0.405382	0.51328	0.173362	0.103333	0.38848	10.4803
64	-22048.8	-21974.3	-74.4691	1.40308	0.579887	0.645208	1.13424	0.889886	0.28504	0.937784	0.00431188	0.919977	0.211306	0.42033	0.00247889	0.615136	0.300703	0.342631	0.0577574	0.512493	0.685603	0.125403	0.0626691	0.410887	10.5468
65	-22044.6	-21969.2	-75.3371	1.2729	0.597261	0.632481	1.19135	0.880212	0.286252	0.963786	0.00248761	1.11988	0.166364	0.418383	0.00344923	0.615136	0.370926	0.426938	0.124558	0.530191	0.510673	0.0251039	0.12688	0.36839	10.6336
66	-22050.2	-21977.7	-72.4324	1.12725	0.714446	0.603803	1.18754	0.906899	0.24787	0.867518	0.00407658	0.991376	0.201095	0.454188	0.0033015	0.640252	0.264918	0.369992	0.225532	0.357315	0.474843	0.0810627	0.0666007	0.553266	10.3431
67	-22047	-21970.4	-76.6017	1.2647	0.653268	0.612499	1.26554	1.02964	0.31498	0.960901	0.00415964	0.935553	0.200781	0.422973	0.000140844	0.653689	0.264918	0.384682	0.0800549	0.577728	0.538848	0.0590071	0.209308	0.326693	10.7601
68	-22052	-21978.5	-73.5126	1.0839	0.667842	0.638264	1.07127	1.09787	0.27666	0.985727	0.000280971	0.774202	0.169698	0.452771	0.00571457	0.650421	0.368808	0.448583	0.0708423	0.559978	0.554684	0.0706857	0.22237	0.280581	10.4512
69	-22051.3	-21984	-67.2912	1.16478	0.646422	0.630373	1.04677	0.721857	0.258242	0.736692	0.00145339	0.907629	0.119857	0.458694	0.00608828	0.725189	0.348631	0.448301	0.0285792	0.50539	0.537771	0.068612	0.117866	0.349825	9.82902
70	-22046.4	-21972.3	-74.0343	1.21873	0.6976	0.676338	1.1299	0.990166	0.303812	0.859127	0.000843332	0.947179	0.139597	0.440259	0.00353535	0.639972	0.326997	0.441773	0.0757066	0.373487	0.555954	0.143335	0.041271	0.497739	10.5033
71	-22053.4	-21980.2	-73.1928	1.01496	0.469726	0.745341	1.26737	0.984033	0.353056	0.838111	0.000121848	0.947597	0.195521	0.357326	0.00353535	0.638589	0.291479	0.375404	0.183301	0.570316	0.562832	0.164786	0.0658038	0.389975	10.4192
72	-22056	-21979.9	-76.0989	1.0997	0.688333	0.59983	1.25387	1.02236	0.182005	1.07334	0.00267952	0.916953	0.183974	0.490951	0.00353535	0.73987	0.412197	0.375404	0.00934811	0.601599	0.682693	0.0676724	0.0421712	0.261304	10.7098
